id,address_type,latitude,longitude,address_1,address_2,address_city,address_state,address_zip,zip_plus4,bedrooms,bathrooms,square_feet,year_built,company_name,listing_amount,price_per_sf,last_listing_creation_time,last_listing_deactivation_time,property_listing_status,distance_miles,url,amenities,community_unit_count
1140 12th St|Apt 15|2026-05-05 08:59:38,apartment,30.094082,-96.080872,1140 12th St,Apt 15,Hempstead,TX,77445,,2,1,900,,Lamplighter Apartments Portfolio,950,1.06,2026-05-05 08:59:38,2026-06-01 00:33:28,inactive,0.265,,,20
1140 12th St|Apt 18|2025-08-19 21:36:10,apartment,30.094082,-96.080872,1140 12th St,Apt 18,Hempstead,TX,77445,,2,1,900,,Lamplighter Apartments Portfolio,950,1.06,2025-08-19 21:36:10,2025-09-04 02:17:09,inactive,0.265,,,20
1235 11th St|Apt 10|2026-07-15 06:27:07,apartment,30.09342,-96.07999,1235 11th St,Apt 10,Hempstead,TX,77445,,2,1,900,,Lamplighter Apartments Portfolio,950,1.06,2026-07-15 06:27:07,2026-07-18 10:53:57,inactive,0.280,,,20
1235 11th St|Apt 8|2026-03-26 20:22:40,apartment,30.09342,-96.07999,1235 11th St,Apt 8,Hempstead,TX,77445,,2,1,900,,Lamplighter Apartments Portfolio,975,1.08,2026-03-26 20:22:40,2026-05-05 00:56:25,inactive,0.280,,,20
1235 11th St|Apt 5|2025-07-19 06:01:30,apartment,30.09342,-96.07999,1235 11th St,Apt 5,Hempstead,TX,77445,,2,1,900,,Lamplighter Apartments Portfolio,925,1.03,2025-07-19 06:01:30,2025-08-19 23:26:13,inactive,0.280,,,20
1235 11th St|Apt 4|2025-04-02 03:50:55,apartment,30.09342,-96.07999,1235 11th St,Apt 4,Hempstead,TX,77445,,2,1,900,,Lamplighter Apartments Portfolio,900,1.0,2025-04-02 03:50:55,2025-04-25 00:29:51,inactive,0.280,,,20
