id,address_type,latitude,longitude,address_1,address_2,address_city,address_state,address_zip,zip_plus4,bedrooms,bathrooms,square_feet,year_built,company_name,listing_amount,price_per_sf,last_listing_creation_time,last_listing_deactivation_time,property_listing_status,distance_miles,url,amenities,community_unit_count
1126 Trellis Pass||2025-09-12 20:37:42,apartment,30.15715,-96.38159,1126 Trellis Pass,,Brenham,TX,77833,,2,1,956,,Leading Realty Group,1550,1.62,2025-09-12 20:37:42,2025-09-19 07:02:35,inactive,0.975,,,1
1124 Trellis Pass||2025-07-25 12:24:26,apartment,30.15715,-96.38159,1124 Trellis Pass,,Brenham,TX,77833,,2,1,956,,Leading Realty Group,1550,1.62,2025-07-25 12:24:26,2025-08-12 11:16:19,inactive,0.975,,,1
718 S Chappell Hill St||2025-07-24 09:51:58,apartment,30.163343,-96.38913,718 S Chappell Hill St,,Brenham,TX,77833,,1,1,844,1979,We Manage Properties,1050,1.24,2025-07-24 09:51:58,2025-09-13 09:49:50,inactive,1.054,,,1
402 W Alamo St||2026-05-02 14:29:34,apartment,30.166067,-96.401855,402 W Alamo St,,Brenham,TX,77833,,2,1,1029,,We Manage Properties,1350,1.31,2026-05-02 14:29:34,2026-05-30 20:59:55,inactive,1.258,,,1
203 Schuerenberg St||2026-02-27 10:59:19,apartment,30.167252,-96.403198,203 Schuerenberg St,,Brenham,TX,77833,,2,1,1424,1974,We Manage Properties,1475,1.04,2026-02-27 10:59:19,2026-06-28 08:37:05,inactive,1.362,,,1
1003 E Alamo St||2026-06-05 08:35:44,apartment,30.168653,-96.389381,1003 E Alamo St,,Brenham,TX,77833,,2,1,886,2003,We Manage Properties,1050,1.19,2026-06-05 08:35:44,,active,1.402,,,1
1004 E Main St||2026-01-29 10:54:20,apartment,30.16898,-96.389236,1004 E Main St,,Brenham,TX,77833,,1,1,656,2011,We Manage Properties,900,1.37,2026-01-29 10:54:20,2026-03-26 09:52:20,inactive,1.426,,,1
1206 E Alamo St||2024-10-10 10:01:19,apartment,30.168804,-96.386978,1206 E Alamo St,,Brenham,TX,77833,,2,2,831,2009,We Manage Properties,1050,1.26,2024-10-10 10:01:19,2025-02-08 09:37:05,inactive,1.452,,,1
514 W Jefferson St||2026-06-05 08:35:38,apartment,30.167952,-96.405334,514 W Jefferson St,,Brenham,TX,77833,,2,1,819,,We Manage Properties,1300,1.59,2026-06-05 08:35:38,,active,1.458,,,2
1312 E Alamo St|Apt B|2026-06-05 08:35:41,apartment,30.169098,-96.385536,1312 E Alamo St,Apt B,Brenham,TX,77833,,1,1,500,,We Manage Properties,750,1.5,2026-06-05 08:35:41,,active,1.501,,,2
1312 E Alamo St|Apt A|2025-12-31 10:51:18,apartment,30.169098,-96.385536,1312 E Alamo St,Apt A,Brenham,TX,77833,,1,1,500,,We Manage Properties,850,1.7,2025-12-31 10:51:18,2026-01-16 11:11:21,inactive,1.501,,,2
400 Martin Luther King Jr Pkwy||2025-05-13 17:29:23,apartment,30.169783,-96.402771,400 Martin Luther King Jr Pkwy,,Brenham,TX,77833,,2,1,1143,1960,Sharon Cunningham,1500,1.31,2025-05-13 17:29:23,2025-05-26 07:55:00,inactive,1.518,,,1
