address_1,name,units,year_built,community
101 E Tidwell Rd,Vista Villa Apartments (all bills paid),79,1964,
818 Pinemont Dr,The Melrose Apartments,69,1972,
735 W Cavalcade St,Cavalcade Heights,,1970,
4411 Fulton St,The Station Apartments,60,1961,
4300 Rosslyn Rd,4300 Rosslyn,,1961,
4742 Yale St,Yale Apartments,,1964,
