gl,account,code,count,source,conflicts
,*6805-1400 - Light Fixtures / Fans (Parts Only),rm,2,"Bryce - (Arlington, TX) - District on Collins",
,*6805-1410 - Cabinet Box Repairs/Repaint,rm,2,"Bryce - (Arlington, TX) - District on Collins",
,*6805-1450 - Cabinet Front Repairs/Repaint,rm,2,"Bryce - (Arlington, TX) - District on Collins",
,*6805-1750 - Minor Tub Repairs,rm,2,"Bryce - (Arlington, TX) - District on Collins",
,A/C Repairs,rm,2,"David - (McAllen, TX) - 3616 Harvey St",
,A4100106  Vacancy Loss,v,2,"Chris - (Alvin, TX) - Oak Park Village",
,AbIntbnance 5 Repairs,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
,AC - Amenity,oi,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Accelerated Rent,oi,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Access Gate And Entry System Repairs,cs,2,"Dylan - (Fort Worth, TX) - The Stella",
,Access Gate Contract,cs,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Access Gate Expense,rm,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Access Gate Remote Income,oi,2,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Access Gate Repairs,rm,2,"Bryce - (Springtown, TX) - North Park Townhomes",
,Accounting,ad,17,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Accounting-AF Bill Pay,ad,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Accounting Expense,ad,9,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Accounting Expenses,ad,9,"David - (Odessa, TX) - East 12th Townhomes",
,Accounting Fees,mf,10,"Guillermo - (Lubbock, TX) - Cottage Point","recoded from 'ad' (standardized to majority ({'ad': 19, 'mf': 20}))"
,Accounting Income,oi,1,"paul - (Dallas, TX) - Estrella at Kiest",
,Accounting-Payroll,pr,2,"Chase - (Corsicana, TX) - Oak Lawn",
,Accounting-Payroll Services,pr,2,"Chase - (Corsicana, TX) - Oak Lawn",
,Accounting/Billing,ad,2,David - (Carrollton) - Marbella Villas at Indian Creek,
,Accounting/Bookkeeping,ad,2,"David - (Kingsville, TX) - SG Apartments",
,Ad Valorem Prop Taxes - Prior Year,tx,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Ad Valorem Property Taxes,tx,18,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Ad Valorem Tax,tx,2,"Guillermo - (Killeen, TX) - Battalion Heights",
,Add'l Repair,rm,3,"Bryce - (Denton, TX) - The Cluster Apartments",
,Additional Occupant Fee,oi,2,"Bryce - (San Antonio, TX) - Stone Chase",
,Additional Parking Pass,oi,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Adjust Accrual To Cash,oi,2,"Will - (Overland Park, KS) - 87th Street Apartments",
,Adjustment Income,oi,4,"Greg - (Dallas, TX) - The Carolina",
,Admin,oi,2,"Chase - (Corsicana, TX) - Oak Lawn",
,Admin and Office,ad,2,"David - (Universal City, TX) - Falcon Apartments",
,Admin Appreciation Day,ad,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Admin Exp Reimb,ad,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,Admin Fee,oi,13,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Admin Fee Expense,ad,2,"paul - (Dallas, TX) - Estrella at Kiest",
,Admin Fee Income,oi,2,"Jon - (DeSoto, TX) - Canyon Oaks",
,Admin Fee Non-Refundable,oi,4,"Angel - (Granbury, TX) - The Woods",
,Admin Fees,oi,9,"Yonnic - (Bryan, TX) - Retreat at 2818",
,Admin Fees Collected,oi,2,"David - (Greenville, TX) - Kingridge",
,Admin Other,ad,2,"Jon - (Lewisville, TX) - Vistas on the Park",
,Admin/Clerical Acf Fee,ad,4,"Dylan - (Denton, TX) - 1105 & 1109 Sleepy Hollow",
,Administration,ad,4,"Guillermo - (Garland, TX) - Bay Island",
,Administration Expense,ad,2,"Paul - (Lubbock, TX) - Dimora Village",
,Administration Fee,oi,14,"Will - (Overland Park, KS) - 87th Street Apartments",
,Administration Fee for MI,oi,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Administration Fee Income,oi,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,Administration Fees,oi,8,"Bryce - (Cleburne, TX) - Colonial",
,Administration Fees (Move In),oi,2,"David - (Kingsville, TX) - SG Apartments",
,Administrative / Accounting Fees,ad,2,"Paul - (Killeen, TX) - Dorel Killeen",
,Administrative Bonus,pr,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Administrative Charges (Move Out),oi,2,"David - (Kingsville, TX) - SG Apartments",
,ADMINISTRATIVE EXPENSE,ad,2,"David - (Midland, TX) - Ranchland Apartments",
,Administrative Expenses,ad,10,"Jackson - (Dallas, TX) - 4414 Worth St",
,Administrative Fee,oi,10,"Danny - (Manor, TX) - Flats at Shadowglen",1xrw
,Administrative Fee Income,oi,4,"Bryce - (Haltom City, TX) -  Loraine Place",
,Administrative Fee - Utilities,oi,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",1xro
,Administrative Fees,oi,24,"Emilio - (Houston, TX) - Las Palmas",
,Administrative Income,oi,2,"Danny - (Dallas, TX) - The Link",
,Administrative Rent Allowance,nr,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Administrative/Forms,ad,4,"Greg - (Arlington, TX) - Stadium West",
,Admln and Of f Ice,ad,2,"David - (Universal City, TX) - Falcon Apartments",
,Advertising,m,77,"Trey - (Dallas, TX) - Ascent at Midtown",2xad
,Advertising and Promotion,m,3,"Yonnic - (Hallsville, TX) - Townhomes at Cider Point","recoded from 'ad' (standardized to majority ({'ad': 3, 'm': 4, 'pr': 2}))"
,Advertising and Promotions,m,1,"paul - (Dallas, TX) - Estrella at Kiest",
,Advertising - Electronic,m,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Advertising - Employee Recruiting,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising - Flyers/Brochures,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising - Internet,m,11,"Will - (Overland Park, KS) - 87th Street Apartments",
,Advertising - Locator Fee,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising & Marketing,m,18,"Trey - (Duncanville, TX) - Sunset Villa",
,Advertising-Online,m,4,"Greg - (Dallas, TX) - The Carolina",
,Advertising Other,m,6,"Danny - (Houston, TX) - Ivy at the Galleria",
,Advertising - Print,m,2,"Guillermo - (Dallas, TX) - Pearl at Midtown",
,Advertising & Promotion,m,8,"Jackson - (Pilot Knob, MO) - Countryside Apartments",
,Advertising - Property,m,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Advertising - Resident Referral,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising Signs/Banners,m,3,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Advertising/Promotional,m,2,"Jon - (Copperas Cove, TX) - The Bricks",
,After School Program Teacher,pr,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Agent Commissions,ad,2,"Jon - (Dallas, TX) - 615 N Marsalis Ave",
,Air Con/Htg Repairs/Supplies,rm,4,"Will - (Overland Park, KS) - 87th Street Apartments",
,Air Duct Cleaning,rm,2,"Dylan - (Fort Worth, TX) - The Stella",
,Alarm Monitor,cs,4,"Dylan - (Fort Worth, TX) - The Stella",
,Alarm Service,ad,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Alarm Service Fee & Repair,rm,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Alarm System,cs,6,"Jon - (Lewisville, TX) - Vistas on the Park",
,Alarms,rm,2,"Danny - (Weatherford, TX) - Lone Oak",
,Alarms & Monitoring,cs,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,All Utility Reimbursement,rw,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,ALLOWANCE FOR DOUBTFUL A,nr,2,"Paul - (Garland, TX) - Vista Isle",
,Allowances-Net Write Offs,bd,2,"Chris - (San Antonio, TX) - Sunset Heights",
,Allowances-Vacancies,v,2,"Chris - (San Antonio, TX) - Sunset Heights",
,Amenities Income,oi,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Amenity Fee,oi,8,"Danny - (Manor, TX) - Flats at Shadowglen",
,Amenity Fees,oi,2,"Bryce - (Cleburne, TX) - Colonial",
,Amenity Upkeep - Pet Park,rm,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Amenity/Facility Fee Income,ro,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,American Pest Control Services,o,2,"Greg - (Mansfield, TX) - Mansfield Gardens",
,Ancillary Benefit Package,pr,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Ancillary Income,oi,4,"Danny - (Stillwater, OK) - Milestone Stillwater",
,Animal Fee,oi,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Animal Rent,oi,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Animal/Pest Control Supplies,rm,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Annual fire and security inspection test,ad,2,"Greg - (Mansfield, TX) - Mansfield Gardens",
,Annual Inspection - Fire,i,2,"Yonnic - (Shreveport, LA) - Castlewood",
,Answering / On-Hold Service,ad,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Answering Service,ad,42,"Danny - (Manor, TX) - Flats at Shadowglen",2xcs; 1xrm
,Answering Service/Call Center,ad,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Answering Service/Pager,ad,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,Answering Services,ad,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Answering/Voicemail Service,ad,2,"Yonnic - (Dallas, TX) - Legacy Lofts",
,Apartment Association Dues,ad,2,"Bryce - (Cleburne, TX) - Colonial",
,Apartment Cleaning,rm,10,"Jon - (Tulsa, OK) - Boulder Ridge",
,Apartment Guides / Magazines,m,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Apartment List,m,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Apartment List - Pay Per Lease,m,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Apartment Preparation,rm,2,"Chris - (San Antonio, TX) - Sunset Heights",
,Apartment Rent,r,2,"Dylan - (Fort Worth, TX) - Bonnie Royal",
,Apartment Turnover,ad,2,"Guillermo - (Garland, TX) - Bay Island",
,Apartments.Com,m,6,"Bryce - (Cleburne, TX) - Colonial",
,App/Admin Fees Concession,nr,2,"Bryce - (Haltom City, TX) -  Loraine Place",recoded from 'oi' (concession-named -> nr)
,Apparel/Uniforms,ad,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Appfolio Charges,ad,2,"Emilio - (San Antonio, TX) - Contessa Townhomes",
,Appfolio Deposits,r,4,"Danny - (Killeen, TX) - 605 N Gray",
,Appfolio Fee,ad,2,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Appfolio Fees,ad,2,"Paul - (Lubbock, TX) - Dimora Village",
,Appfolio Insurance Services,oi,2,"David - (Temple, TX) - Asbury Park",
,Appfolio License,ad,4,"Chase - (Corsicana, TX) - Oak Lawn",
,AppFolio Premium Leads Usage,m,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Appfolio Renter Ins Income,oi,2,"Paul - (Lubbock, TX) - Dimora Village",
,Appfolio Software Fee (Per Unit Fee),ad,4,"Guillermo - (Lubbock, TX) - Cottage Point",
,Appfolio Utility Management Fees,mf,4,"Guillermo - (Lubbock, TX) - Cottage Point",recoded from 'ad' (house rule: management fees always mf)
,Appliance,rm,11,"- (Abilene, TX) - The Quarters",
,Appliance Fee,oi,2,"Greg - (Fort Worth, TX) - 1605 5th Ave",
,Appliance  Maintenance,rm,10,"Bryce - (Haltom City, TX) -  Loraine Place",
,Appliance Parts,rm,9,"Will - (Kansas City, MO) - Province of Briarcliff",1xad
,Appliance Parts / Repair,rm,2,"Danny - (Dallas, TX) - The Link",
,Appliance Parts And Service,rm,4,"Dylan - (Fort Worth, TX) - The Stella",
,Appliance Parts & Repairs,rm,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Appliance Parts & Supplies,rm,4,"Jon - (Richardson, TX) - Winding Way",
,Appliance Parts (Vacant),rm,2,"Bryce - (Haltom City, TX) -  Loraine Place",
,Appliance Parts/Repair,rm,2,"Jackson - (Pilot Knob, MO) - Countryside Apartments",
,Appliance R&M,rm,4,"David - (Odessa, TX) - East 12th Townhomes",
,Appliance Repair,rm,16,"David - (Temple, TX) - Asbury Park",
,Appliance Repair & Maint.,rm,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Appliance Repair Service,rm,2,"Yonnic - (Fort Worth, TX) - Polo Club",
,Appliance Repairs,rm,29,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Appliance Repairs And Supplies,rm,2,"Guillermo - (Baton Rouge, LA) - Terraces at Perkins Rowe",
,Appliance Repairs & Maintenance,rm,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Appliance Repairs & Parts,rm,2,"Danny - (Oklahoma City, OK) - The Brickson",
,"Appliance Repairs, Parts and Supplies",rm,2,"Will - (Copperas Cove, TX) - Las Cortes",
,Appliance Repairs/Supplies,rm,8,"Will - (Overland Park, KS) - 87th Street Apartments",
,Appliance Replace,rm,2,"Yonnic - (Fort Worth, TX) - Polo Club",
,Appliance Replacement,rm,3,"David - (Commerce, TX) - Mayo Townhomes",
,Appliance Supplies,rm,10,"Danny - (Manor, TX) - Flats at Shadowglen",
,Appliance Supplies & Repairs,rm,6,"Greg - (Arlington, TX) - Stadium West",
,Appliance Supply,rm,2,"Yonnic - (Fort Worth, TX) - Polo Club",
,Appliances,rm,24,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Appliances (Fridge),rm,6,"(Weslaco, TX) - 2604 S Bridge Ave",
,APPLIANCES R/M,rm,2,"Paul - (Garland, TX) - Vista Isle",
,Appliances Rent,rm,2,"David - (McAllen, TX) - 3616 Harvey St",
,Appliances - Repairs,rm,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",1xad
,Appliances (Stove),rm,6,"(Weslaco, TX) - 2604 S Bridge Ave",
,Appliances Turnover,rm,2,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Appliances/Equipment,rm,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Applicant Screening,ad,8,"Guillermo - (Houston, TX) - Pines at Woodcreek",1xm
,Applicant Screening Charges,ad,2,"Guillermo - (Garland, TX) - Meadow Creek",
,Application Fee,oi,37,"Trey - (Duncanville, TX) - Sunset Villa",
,Application Fee Collected,oi,2,"David - (Corsicana, TX) - Skylane Ave SFR",
,Application Fee Expense,ad,2,"Will - (Copperas Cove, TX) - Las Cortes",
,Application Fee for MI,oi,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Application Fee Income,oi,63,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Application Fee Revenue,oi,2,"Will - (Copperas Cove, TX) - Las Cortes",
,Application Fees,oi,79,"Emilio - (Houston, TX) - Las Palmas",1xro
,Application Fees Collected,oi,2,"David - (Greenville, TX) - Kingridge",
,Application Process,oi,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Application Processing Exp,m,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Appraisal and Inspection Fees,ad,2,"Yonnic - (Dallas, TX) - Legacy Lofts",
,Apt Allowance-Manager,nr,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Apt. Assoc. Dues Fees,mf,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Asphalt / Parking Repairs,rm,2,"Danny - (Dallas, TX) - The Link",
,Assistant Maintenance,pr,7,"Dylan - (Houston, TX) - Park at Vittoria",
,Assistant Maintenance - Salaries,pr,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Assistant Management - Salaries,pr,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Assistant Manager,pr,16,"Danny - (Manor, TX) - Flats at Shadowglen",
,Assistant Manager Ot,pr,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Assistant Manager Payroll,pr,8,"Jon - (Lewisville, TX) - Vistas on the Park",
,Assistant Manager Salaries,pr,4,"David - (Waco, TX) - Cove on 21st",
,Assistant Manger Bonus,pr,2,"Guillermo - (Yukon, OK) - Yukon Heights",
,Assistant Property Manager,pr,4,"Dylan - (Fort Worth, TX) - The Stella",
,"Assoc., Edu, PE",ad,2,"David - (Kingsville, TX) - SG Apartments",
,Assoc. Fees / Membership Dues,ad,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Association Dues,ad,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",1xoi
,Association Fee Income,oi,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Association Fee/Administration Fee,ad,2,"Guillermo - (Hurst, TX) - Point on Calloway",
,Association Fees,ad,5,"Yonnic - (Bryan, TX) - Retreat at 2818",
,Association/Membership Dues,ad,3,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,At&T Wifi Income,ro,2,"Paul - (Dallas, TX) - Hampton Road Duplexes",
,Atc - Equipment Rental/Lease Expense,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Atc - Flooring,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Atc - Leasing Fees Expense,ad,4,"Greg - (Dallas, TX) - The Carolina",
,Atc - Leasing Fees - Renewal Expense,ad,4,"Greg - (Dallas, TX) - The Carolina",
,Atc Make Ready,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Atc Make Ready Cleaning,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Atc Make Ready Labor,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Atc Make Ready Turn-Key,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Attorney Fees,oi,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Attorney/ Court Fees,oi,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Attorney/Court Fees,oi,2,"David - (Kingsville, TX) - SG Apartments",
,Auto,ad,2,"Guillermo - (Houston, TX) - La Terraza Apartments",
,Auto / Travel,ad,5,"Dylan - (Charles, LA) - The Oaks Apartments",
,Auto and Travel,ad,4,"Emilio - (Van Alstyne, TX) - 441 & 451 W Van Alystne",
,Auto And Travel Expense,ad,2,"Will - (Overland Park, KS) - 87th Street Apartments",
,Auto Expense,ad,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Automobile Expense,ad,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Automobile/Mileage Reimbursement,ad,8,"Jon - (Oklahoma City, OK) - Lakewood Estates",
,Avenue G Estates,i,2,"Angel - (Garland, TX) - Avenue G Estates",
,Back Ground Checks,ad,2,"Emilio - (Wylie, TX) - Village East",
,Back Rent Collected,oi,2,"David - (Greenville, TX) - Kingridge",
,Backflow Inspections,rm,2,"Paul - (Killeen, TX) - Dorel Killeen",
,Bad Debt / Write-Off Uncollectable Rent,bd,6,"Bryce - (Haltom City, TX) -  Loraine Place",
,Bad Debt - Allowance,bd,2,"Bryce - (San Antonio, TX) - Stone Chase",
,Bad Debt Collected,bd,6,"Danny - (Manor, TX) - Flats at Shadowglen",
,Bad Debt Collections,bd,4,"Trey - (Garland, TX) - Hills of Palos Verde",
,Bad Debt Expense,bd,6,"Guillermo - (Yukon, OK) - Yukon Heights",1xad
,Bad Debt Income,oi,6,- Orleans,
,Bad Debt Loss,bd,4,"Greg - (Arlington, TX) - Stadium West",
,Bad Debt Offset,bd,2,"Yonnic - (Shreveport, LA) - Castlewood",
,Bad Debt - Other Income,bd,4,"Paul - (Killeen, TX) - Dorel Killeen",1xoi
,Bad Debt Recovery,bd,33,"Yonnic - (Bryan, TX) - Retreat at 2818",2xoi
,Bad Debt Recovery Fee,bd,2,"David - (Kingsville, TX) - SG Apartments",
,Bad Debt Recovery - Rent,bd,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Bad Debt Recovery/ Collection,bd,2,"Paul - (Haltom City, TX) - Woods of Haltom City",
,Bad Debt - Rent,bd,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Bad Debt Write-Off,bd,12,"Danny - (Manor, TX) - Flats at Shadowglen",
,Bad Debt Write-Off - Other,bd,2,"Bryce - (Arlington, TX) - Timberlake Villas",
,Bad Debt Write-Off - Rent,bd,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Bad Debt Writeoffs,bd,2,"Will - (Overland Park, KS) - 87th Street Apartments",
,Bad Debt/Write Off,bd,2,"Jon - (Lewisville, TX) - Vistas on the Park",
,Bad Debt/Write-Off Uncollectable,bd,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Bank Charge / Fees,ad,10,"Emilio - (Houston, TX) - Las Palmas",
,Bank Charge/Fees ACH Express,ad,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Bank Charges,ad,49,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Bank Charges Expense,ad,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Bank Charges & Fees,ad,2,"David - (Kingsville, TX) - SG Apartments",
,Bank Charges - Nsf Fees,ad,4,"Will - (Overland Park, KS) - 87th Street Apartments",
,Bank Fee,ad,2,"Guillermo - (Houston, TX) - La Terraza Apartments",
,Bank Fees,ad,62,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Bank Fees - NSF & Other,ad,2,"Emilio - (Sherman, TX) - Concord Village",
,Bank Fees/ Service Charges,ad,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Bank Service Charges,ad,8,"Trey - (Cedar Hills, TX) - 312 Hickerson St",
,Bank/NSF Fees,ad,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Banking Fees,ad,4,"Greg - (Dallas, TX) - The Carolina",
,Banking Fees/Charges,ad,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Banners,m,6,"Emilio - (Houston, TX) - Las Palmas",
,"Banners, Balloons & Flags",m,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Bath Tub / Shower Surround,rm,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Bath/Kitchen Fixtures,rm,2,"Trey - (Garland, TX) - Hills of Palos Verde",
,Bathroom & Misc. Supplies,rm,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Batteries,rm,2,"Bryce - (Arlington, TX) - Timberlake Villas",
,Beginning Balance,oi,2,"Emilio - (Houston, TX) - Las Palmas",
,Benefits,pr,2,"Paul - (Lubbock, TX) - Dimora Village",
,Bill Pay Fee,ad,2,"Jon - (Lewisville, TX) - Vistas on the Park",
,Billback-Utilities Flat,ro,4,"Bryce - (Cleburne, TX) - Colonial",
,Billed Property Maintenance Labor,rm,2,"3- (Houston, TX) - 2801 Carrolton Apartments",
,Billing Fees & Tax Credit Expenses,o,2,"Greg - (Arlington, TX) - Stadium West",
,Bldg Carpentry,rm,1,"Danny - (Temple, TX) - The District at 21 Fourteen",
,Bldg Hardware,rm,1,"Danny - (Temple, TX) - The District at 21 Fourteen",
,Bldg Maint and Repair,rm,3,"Dylan - (Charles, LA) - The Oaks Apartments",
,Bldg Repairs & Supplies,rm,2,"Danny - (Dallas, TX) - The Link",
,5111Blinds,rm,13,"Yonnic - (San Antonio, TX) - The Kelly Apartments",
,Blinds / Drapes Repair,rm,2,"Bryce - (San Antonio, TX) - Stone Chase",
,Blinds & Other Window Coverings,rm,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Blinds Turnover,rm,2,"Dylan - (Fort Worth, TX) - The Stella",
,6654-0000Blinds/Drapes,rm,2,"Paul - (Killeen, TX) - The Forum",
,Blinds/Repairs,rm,2,"Trey - (Garland, TX) - Hills of Palos Verde",
,Blue Moon Forms (TAA),ad,2,"David - (Kingsville, TX) - SG Apartments",
,Blue Moon Software,ad,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Bluemoon,ad,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Boiler / Hot Water Repairs,rm,4,"Greg - (Dallas, TX) - The Carolina",
,Boiler Repair,rm,4,"Danny - (Dallas, TX) - The Link",
,Boiler Room Gas Fee,ro,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Boiler & Water Heater Repairs,rm,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Boilers & Water Heaters,rm,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Bonus,pr,6,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Bonus - Maintenance,pr,2,"Yonnic - (Dallas, TX) - Legacy Lofts",
,Bonus & Vacations Expense,pr,2,"Dylan - (Houston, TX) - Residences at Med",
,Bonuses,pr,38,"Emilio - (Houston, TX) - Las Palmas",
,Bonuses (MI),pr,2,"Yonnic - (Fort Worth, TX) - Polo Club",
,Bonuses - Office Staff,pr,2,"Dylan - (Houston, TX) - Park at Vittoria",
,Bonuses & Wages,pr,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Bookkeeping/Tax prep,ad,2,"Danny - (Amarillo, TX) - Westhaven Duplexes",
,Break Lease Fee,oi,4,"Will - (Overland Park, KS) - 87th Street Apartments",
,Breeze Software,ad,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Brochures,m,14,"Emilio - (Houston, TX) - Las Palmas",
,Brochures & Related Materials,m,2,"Greg - (Amarillo, TX) - Cross Timbers at Grand Street",
,Brochures/ Media/ Digital Design,m,2,"Trey - (Garland, TX) - Hills of Palos Verde",
,Brochures/Banners/Bandits/Flyers/Flags,m,2,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Broken Lease/Violation,oi,6,- Orleans,
,Budgeted Fees & Additional Income,oi,2,"Danny - (Oklahoma City, OK) - The Brickson",
,Building,rm,7,"- (Abilene, TX) - Brookhollow Garden",
,Building And Facilities,cs,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Building And Facilities Fee,oi,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Building Cleaning - Outside,rm,2,"Emilio - (San Antonio, TX) - Contessa Townhomes",
,Building - Exterior,rm,10,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Building & Facilities Fee,oi,2,"Paul - (Haltom City, TX) - Woods of Haltom City",
,Building fee,ro,2,"Dylan - (Houston, TX) - Residences at Med",
,Building Insurance,i,10,"Jon - (Tulsa, OK) - Boulder Ridge",
,Building - Interior,rm,2,"Paul - (Killeen, TX) - Dorel Killeen",
,Building Maintenance,rm,4,"Bryce - (Haltom City, TX) -  Loraine Place",
,Building Materials,rm,2,"David - (San Antonio, TX) - Robins Nest",
,Building Protection Fee,oi,2,"David - (Kingsville, TX) - SG Apartments",
,Building Repair,rm,8,"- (Abilene, TX) - The Quarters",
,Building Repairs,rm,2,"David - (San Antonio, TX) - Robins Nest",
,Building Supplies,rm,2,"Jackson - (Pilot Knob, MO) - Countryside Apartments",
,Buildium,ad,2,"Guillermo - (Houston, TX) - La Terraza Apartments",
,Bulk Fees,oi,2,"Emilio - (Houston, TX) - Walnut Creek",
,Bulk Trash,tr,2,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Bulk Trash Out,rm,6,"Emilio - (Dallas, TX) - Tribeca & 2106 Bennett",1xtr
,Business And Leasing Automation,ad,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Business Cards,rm,5,"Jon - (Lewisville, TX) - Vistas on the Park",2xm
,Business Expenses,ad,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Business License & Permits,ad,2,"Trey - (McKinney, TX) - 301 E Lamar St",
,Business Licenses & Permits,ad,4,"Bryce - (Cleburne, TX) - Colonial",
