gl,account,code,count,source,conflicts
6500-0005,6500-0005 Apartment Locator Fees,m,4,"Danny - (Arlington, TX) - The Sherry",
6500-0010,6500-0010 Brochures/Flyers,m,2,"Danny - (Arlington, TX) - The Sherry",
6500-0020,6500-0020 Flags & Banners,m,2,"Danny - (Arlington, TX) - The Sherry",
6500-0050,6500-0050 Misc Marketing,m,4,"Danny - (Arlington, TX) - The Sherry",
6500-0100,6500-0100 - Answering Service,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0105,6500-0105 - Marketing/Website,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0110,6500-0110 Referral Fees,m,4,"Danny - (Arlington, TX) - The Sherry",
6500-0130,6500-0130 Resident Relations - Other,m,4,"Danny - (Arlington, TX) - The Sherry",
6500-0135,6500-0135 Events/Activities,m,4,"Danny - (Arlington, TX) - The Sherry",
6500-0170,6500-0170 Web Advertising,m,4,"Danny - (Arlington, TX) - The Sherry",
6500-0200,6500-0200 - Computer & Software Expense,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0205,6500-0205 - Donation/Charitble Contribution,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0300,6500-0300 - Eviction & Filing Fees,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0301,6500-0301 - Legal And Accounting,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0350,6500-0350 - Resident Screening,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0401,6500-0401 - Bank/Wire Fees,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0405,6500-0405 - Interest On Loc/Credit Card,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0500,6500-0500 - Meals & Entertainment,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0601,6500-0601 - Office Supplies,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0700,6500-0700 - Office Rentals,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-0905,6500-0905 - Postage Expense,ad,2,"Bryce - (Arlington, TX) - District on Collins",
6500-1000,6500-1000 - Training & Education,ad,2,"Bryce - (Arlington, TX) - District on Collins",
